session_id,timestamp_utc,tod_bucket,dow,src_asn,src_cc,src_isp,ip_version,prob_cgnat,port,protocol_label,flow,allowInsecure,server_build,alpn_negotiated,tls_version,cipher_chosen,ja3,ja4,utls_inferred,alpn_offered_set_hash,sni_bucket,cdn_vendor,dest_bucket,tcp_rst_seen,syn_retries,tls_alert_desc,retransmissions,tt_handshake_ms,ttfb_ms,throughput_kbps,session_duration_s,bytes_up,bytes_down,signature_based_match,protocol_state_tracking,heuristic_behavior_score,packet_size_mean,packet_size_std,packet_size_p95,interarrival_mean_ms,interarrival_std_ms,flow_duration_ms,byte_entropy,ascii_ratio_initial32,byte_freq_bin_00_31,byte_freq_bin_32_63,byte_freq_bin_64_95,byte_freq_bin_96_127,byte_freq_bin_128_159,byte_freq_bin_160_191,byte_freq_bin_192_223,byte_freq_bin_224_255,connection_pattern_bucket,payload_to_header_ratio,dns_qname_bucket,dns_rcode,dns_ttl_s,ttl_mean,fragmentation_seen,label_success,hist_success_rate_by_bucket,hist_success_rate_by_sni,hist_success_rate_by_port,hist_success_rate_by_ja3,ratio_handshake_totaldelay,ema_throughput_kbps_24h,onehot_morning,onehot_noon,onehot_evening,onehot_midnight
e79310c7c3e9,2026-03-15T14:38:20Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,True,1,not_applicable,10,1278.36,1278.36,0.473,346.32,1952,20484,1,reset,0.6,934.833,677.33,1500.0,15057.403,33753.522,346320.0,6.9291,0.2188,0.3887,0.0977,0.0801,0.1094,0.0938,0.0801,0.0859,0.0645,interactive,16.4809,not_observed,not_observed,not_observed,70.167,False,0,,,,,1.0,0.473,0,1,0,0
122ada7d8113,2026-03-15T14:38:38Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,126.455,126.455,39.254,2.337,7386,11467,1,partial,0.0,438.442,554.376,1380.0,55.644,153.622,2337.0,7.444,0.1875,0.2383,0.1328,0.1133,0.1094,0.1094,0.0938,0.1172,0.0859,short_burst,6.9898,not_observed,not_observed,not_observed,85.977,False,0,0.0,0.0,0.0,0.0,1.0,8.229,0,1,0,0
3a4aa3aab982,2026-03-15T14:38:38Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,129.133,129.133,0.77,69.375,2955,6674,1,partial,0.0,401.208,519.582,1380.0,3016.299,14059.156,69375.0,7.2281,0.3125,0.2773,0.1328,0.0762,0.1328,0.1113,0.082,0.1035,0.084,interactive,6.2381,not_observed,not_observed,not_observed,81.833,False,0,0.0,0.0,0.0,0.0,1.0,6.737,0,1,0,0
209a95e35c26,2026-03-15T14:38:39Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,123.468,123.468,1.753,69.981,7301,15338,1,partial,0.0,503.089,588.253,1404.0,1590.476,10157.268,69981.0,7.0676,0.375,0.3457,0.1211,0.0879,0.0938,0.0723,0.0781,0.1055,0.0957,interactive,8.2271,not_observed,not_observed,not_observed,85.0,False,0,0.0,0.0,0.0,0.0,1.0,5.74,0,1,0,0
563a2b799da2,2026-03-15T14:38:39Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,125.378,125.378,0.756,68.835,3004,6508,1,partial,0.0,413.565,526.947,1380.0,3128.886,14251.637,68835.0,7.4605,0.2188,0.1934,0.1289,0.1191,0.1172,0.127,0.1309,0.1016,0.082,interactive,6.4686,not_observed,not_observed,not_observed,82.652,False,0,0.0,0.0,0.0,0.0,1.0,4.743,0,1,0,0
a8e8a55aa86f,2026-03-15T14:38:39Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,True,0,not_applicable,0,124.318,124.318,49.828,1.86,6867,11585,1,reset,0.35,450.049,566.942,1380.0,46.492,151.677,1860.0,7.1438,0.1875,0.291,0.1191,0.1055,0.1328,0.1016,0.084,0.1133,0.0527,short_burst,7.3485,not_observed,not_observed,not_observed,83.61,False,0,0.0,0.0,0.0,0.0,1.0,13.76,0,1,0,0
59503d1338c7,2026-03-15T14:38:40Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,1,118.11,118.11,4.635,69.015,20903,39988,1,complete,0.1,338.283,336.523,1165.05,385.56,1261.085,69015.0,7.3042,0.25,0.2637,0.1289,0.1094,0.1211,0.1191,0.1016,0.0898,0.0664,interactive,5.1026,not_observed,not_observed,not_observed,91.706,False,1,0.0,0.0,0.0,0.0,1.0,11.935,0,1,0,0
77e341e778b4,2026-03-15T14:38:41Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,130.867,130.867,1.445,68.306,10128,12336,1,partial,0.0,387.31,521.239,1380.0,1198.355,7905.379,68306.0,7.5265,0.2188,0.1953,0.1406,0.1465,0.1172,0.1016,0.1094,0.1094,0.0801,interactive,6.0264,not_observed,not_observed,not_observed,87.586,False,0,0.1429,0.1429,0.1429,0.1429,1.0,9.837,0,1,0,0
f9ed0ecbee10,2026-03-15T14:38:42Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,126.805,126.805,1.623,66.669,7395,13528,1,partial,0.0,498.167,576.351,1513.0,1626.08,10014.432,66669.0,7.1543,0.1562,0.3145,0.125,0.0957,0.1133,0.0762,0.0957,0.0918,0.0879,interactive,8.1286,not_observed,not_observed,not_observed,85.381,False,0,0.125,0.125,0.125,0.125,1.0,8.194,0,1,0,0
12837503bdfe,2026-03-15T14:38:43Z,noon,6,UNKNOWN,UNKNOWN,UNKNOWN,ipv4,False,443,vless-reality,xtls-rprx-vision,False,xray-core 1.8.24,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,apple_front,Apple,apple_front,False,0,not_applicable,0,132.542,132.542,51.502,1.743,6646,11221,1,partial,0.0,482.892,569.162,1380.0,48.411,155.644,1743.0,7.3742,0.1875,0.1797,0.127,0.1367,0.125,0.1289,0.1172,0.0996,0.0859,short_burst,7.8284,not_observed,not_observed,not_observed,84.459,False,0,0.1111,0.1111,0.1111,0.1111,1.0,16.856,0,1,0,0
